Мітка;Значення;Ім'я;Кількість;Корпус
C102;100uF;CAPAE_6.6x6.6h5.4;1;CAPAE-6.6x6.6h5.4
C105;10uF;293D106X0004A2;1;TC_1306
C401, C402, C501, C502, C503, C504;0.1uF;CAP_0805;6;CAP_0805
C505;470nF;CAP_1206;1;CAP_1206
DQ, PAD4, PAD5;DQ;Rounded Square;3;Rounded Square
J1;Display_con;1986717-5;1;TBH-1x5/3.5/17x3
J2;;USB_TYPEC;1;USB_TYPEC
J4;ISP;644456-5;1;HDR-1x5T/2.54/12x2
J5;GY-21 HTU21;644456-4;1;HDR-1x4T/2.54/10x2
J401;Batt.;BS-7;1;BS-7
K901;KAQY212S;AQY212S;1;SOP-4/6.5x2.54
LS301;BUZZER;AT-1220-TT-R;1;PB-1220PQ
PH201;PhotoRes;VT935G-A;1;VT900
Q301;BC817-40;BC817-40;1;SOT23
Q801, Q802, Q901, Q902;BSS138;BSS138;4;SOT23
R3, R201, R301, R302, R401, R402, R403, R501, R801, R802, R901, R902, R903, R904, R905*;4.7k;RES_1206_M;15;RES_1206_M
S1, S2, S3, S4;BUTTON_OK;B3F-3100;4;B3F-3/x3.15
U105;1117-3.3;REG1117-3.3;1;SOT223-4
U401;DS3231;DS3231SN;1;SOIC-16/300mil
U501;PIC18F4550;PIC18F4550-I/PT;1;QFP80P1200X1200X120-44N
U601;NRF24L01+;NRF24L01P;1;NRF24L01P
U801;BMP280;BMP280;1;BMP280
U901;NODE_MCU;NodeMCU_V3_ESP8266;1;NodeMCU_V3_ESP8266
Y501;20Mhz;ECS-10-13-1;1;HC-49U
;;;51;
